Country,ISO3166,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Eritrea,ERI,80,68,68,68,69,68,68,68,79,83,89,91,91,94,94,94,94,94,94,94,94,94
Estonia,EST,28,25,24,22,20,20,20,20,18,17,17,17,16,16,16,15,17,18,18,16,16,16
Ethiopia,ETH,73,59,57,62,62,64,62,64,61,64,66,68,75,77,76,76,78,78,81,82,81,83
Fiji,FJI,55,56,57,60,60,59,58,44,33,29,29,30,28,39,37,40,54,57,58,56,54,52
Finland,FIN,17,15,15,15,15,15,15,14,10,10,9,9,9,9,9,10,10,10,10,11,11,11
France,FRA,19,27,30,26,26,27,24,21,17,17,19,20,21,21,22,22,23,23,24,22,22,23
Gabon,GAB,58,52,49,50,50,52,55,55,52,58,62,66,67,69,69,69,71,69,70,71,70,70
"Gambia, The",GMB,24,63,62,65,65,70,70,70,65,65,63,72,73,77,79,79,81,81,81,83,83,81
Georgia,GEO,73,70,68,55,56,57,47,53,53,54,54,56,57,57,60,60,59,55,52,49,47,48
Germany,DEU,11,18,21,11,11,13,13,13,15,15,16,16,16,16,16,16,17,17,17,17,17,18
Ghana,GHA,63,62,62,59,60,61,61,55,27,30,28,26,28,26,27,26,26,26,28,28,28,28
Greece,GRC,30,26,29,27,30,30,30,30,30,28,28,28,28,25,27,29,29,30,30,41,46,51
Grenada,GRD,22,20,20,20,20,20,20,20,16,14,16,20,23,23,24,24,24,24,24,23,24,23
Guatemala,GTM,59,60,56,56,59,60,54,49,49,58,62,58,58,59,58,60,60,59,60,59,60,60
Guinea,GIN,63,66,61,63,69,71,71,71,74,74,71,73,67,67,66,66,71,59,62,62,64,64
Guinea-Bissau,GNB,48,50,49,57,57,57,56,56,56,60,63,55,47,48,53,52,54,57,57,65,67,59
Guyana,GUY,41,28,26,26,22,22,22,22,23,21,20,23,27,29,31,30,30,30,33,33,34,36
Haiti,HTI,87,51,59,59,59,58,58,59,72,79,79,66,68,59,56,53,49,49,50,49,50,50
Honduras,HND,45,45,34,47,47,48,48,45,43,51,52,51,52,51,51,52,59,61,62,62,64,68
Hong Kong,HKG,30,30,30,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,29,30,30,33,33,32,33,35,37,41
Hungary,HUN,30,38,34,31,28,28,30,28,23,23,20,21,21,21,21,21,23,30,36,36,35,37
Iceland,ISL,14,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,10,12,14,14,12,16
India,IND,38,49,48,40,37,37,42,42,42,45,41,38,37,35,35,36,33,35,37,38,39,40
Indonesia,IDN,58,71,74,77,77,53,49,47,53,56,55,58,58,54,54,54,52,53,49,49,49,49
Iran,IRN,81,83,80,80,78,76,68,72,75,76,79,80,84,84,85,85,89,91,92,92,90,90
Iraq,IRQ,99,100,100,100,100,98,98,100,96,95,66,70,71,70,69,67,65,68,69,67,69,72
Ireland,IRL,16,15,18,19,21,20,21,18,16,16,16,15,15,16,15,15,15,16,16,16,16,16
Israel,ISR,30,30,30,28,28,28,30,30,30,27,28,28,28,29,28,31,29,29,30,31,30,30
Italy,ITA,25,30,30,27,27,28,27,27,27,28,33,35,35,29,29,32,33,34,33,33,31,31
Jamaica,JAM,23,18,11,11,11,11,11,11,17,20,17,15,17,15,15,15,16,18,18,18,17,17
Japan,JPN,21,20,21,20,19,19,19,23,17,17,18,20,20,21,21,21,21,21,22,24,25,25
Jordan,JOR,52,48,45,48,60,65,57,60,60,65,63,62,61,61,63,64,63,63,63,63,68,66
