,Gross domestic product 2013,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
TCD,123,,Chad," 13,514 ",,,,,
ZWE,124,,Zimbabwe," 13,490 ",,,,,
NAM,125,,Namibia," 13,113 ",,,,,
ALB,126,,Albania," 12,923 ",,,,,
BFA,127,,Burkina Faso," 12,885 ",,,,,
MUS,128,,Mauritius," 11,929 ",,,,,
SSD,129,,South Sudan," 11,804 ",,,,,
MNG,130,,Mongolia," 11,516 ",,,,,
WBG,131,,West Bank and Gaza," 11,262 ",,,,,
NIC,132,,Nicaragua," 11,256 ",,,,,
LAO,133,,Lao PDR," 11,243 ",,,,,
MLI,134,,Mali," 10,943 ",,,,,
MDG,135,,Madagascar," 10,613 ",,,,,
ARM,136,,Armenia," 10,432 ",,,,,
MKD,137,,"Macedonia, FYR"," 10,195 ",,,,,
MLT,138,,Malta," 9,642 ",,,,,
TJK,139,,Tajikistan," 8,508 ",,,,,
HTI,140,,Haiti," 8,459 ",,,,,
BHS,141,,"Bahamas, The"," 8,420 ",,,,,
BEN,142,,Benin," 8,307 ",,,,,
MDA,143,,Moldova," 7,970 ",f,,,,
RWA,144,,Rwanda," 7,521 ",,,,,
NER,145,,Niger," 7,407 ",,,,,
KGZ,146,,Kyrgyz Republic," 7,226 ",,,,,
KSV,147,,Kosovo," 7,072 ",,,,,
GIN,148,,Guinea," 6,144 ",,,,,
MCO,149,,Monaco," 6,075 ",,,,,
BMU,150,,Bermuda," 5,474 ",,,,,
SUR,151,,Suriname," 5,299 ",,,,,
MNE,152,,Montenegro," 4,416 ",,,,,
TGO,153,,Togo," 4,339 ",,,,,
BRB,154,,Barbados," 4,225 ",,,,,
MRT,155,,Mauritania," 4,158 ",,,,,
SLE,156,,Sierra Leone," 4,136 ",,,,,
FJI,157,,Fiji," 3,855 ",,,,,
SWZ,158,,Swaziland," 3,791 ",,,,,
MWI,159,,Malawi," 3,705 ",,,,,
ERI,160,,Eritrea," 3,444 ",,,,,
GUY,161,,Guyana," 2,990 ",,,,,
BDI,162,,Burundi," 2,715 ",,,,,
ABW,163,,Aruba," 2,584 ",,,,,
LSO,164,,Lesotho," 2,335 ",,,,,
MDV,165,,Maldives," 2,300 ",,,,,
LBR,166,,Liberia," 1,951 ",,,,,
